usuario|canciones|edad|sexo|likes|clasico|country|rock|cumbia|pop|boleros
0|422|29|hombre|76|58.5537|1.93475|162.125|52.0592|24.2492|3.79657
1|455|49|hombre|132|89.3188|2.20351|126.36|171.323|16.6079|2.61137
10|427|56|mujer|20|10.8022|6.39396|2.6222|216.055|5.09071|12.0736
100|448|67|hombre|379|72.0292|9.07623|185.722|113.299|44.9878|19.472
1000|497|19|hombre|80|70.8034|5.01519|187.26|214.897|5.25952|5.23012
1001|39|70|mujer|255|19.6197|2.74211|127.72|134.462|1.99359|11.6813
1002|80|3|hombre|198|68.8898|5.34712|137.384|81.7372|23.2966|6.91388
1003|43|93|hombre|226|94.5625|8.55719|24.1953|4.24917|11.7257|21.6578
1004|437|76|hombre|188|94.4328|7.98493|167.727|283.997|29.3026|14.9791
1005|452|42|hombre|79|83.5159|7.31942|98.3674|63.6388|5.98762|1.20908
1006|52|32|hombre|214|62.3148|6.187|155.999|146.409|49.4775|23.1463
1007|478|74|mujer|257|22.1398|2.99632|162.032|1.90771|14.0285|22.9793
1008|437|40|hombre|476|99.036|1.50404|109.647|71.1403|38.5923|11.4691
1009|236|19|mujer|461|85.8866|9.45798|79.9373|103.594|10.0516|8.05019
101|218|57|hombre|437|64.3938|5.17941|178.975|251.761|31.8848|11.9082
1010|304|0|hombre|463|34.8708|2.52815|82.2554|73.9309|48.9189|11.7554
1011|425|80|mujer|138|60.2268|7.0693|27.1693|227.698|18.8847|3.94228
1012|280|63|mujer|101|95.0663|9.07232|84.6397|193.379|47.2114|18.8597
1013|480|4|mujer|163|73.5123|6.09626|112.377|165.674|35.1325|6.27216
1014|359|25|hombre|224|64.701|1.20721|8.90342|271.015|42.459|6.22167
1015|58|79|mujer|226|2.40753|4.61075|67.093|293.821|24.8672|9.80545
1016|172|86|hombre|384|77.7465|3.85664|62.6422|198.576|45.7367|8.15026
1017|10|55|mujer|351|50.5481|3.55941|126.485|70.4086|47.0813|1.93679
1018|185|21|mujer|8|65.2846|2.1397|83.4537|110.379|13.7582|17.4591
1019|20|28|hombre|401|84.3644|8.04135|26.4011|260.138|23.8377|0.965972
102|272|29|mujer|16|29.2307|0.10939|92.1587|32.341|11.4262|6.82603
1020|137|2|hombre|434|66.386|7.81077|46.8933|77.5625|35.9808|1.37704
1021|462|53|hombre|77|2.45813|3.70025|27.6907|274.776|15.0791|15.3698
1022|258|19|hombre|44|64.0728|6.61768|73.0304|261.19|11.3287|21.475
1023|56|3|hombre|474|16.3419|5.3527|110.569|61.707|20.983|20.9232
1024|89|48|hombre|260|80.8531|8.50107|130.487|148.823|15.0106|10.8054
1025|407|77|hombre|202|69.9155|2.43576|55.2033|170.497|28.9631|1.00141
1026|324|37|hombre|412|85.1454|1.25925|198.915|197.53|21.9756|16.8495
1027|353|65|mujer|370|27.353|1.97576|70.6084|113.287|37.3824|22.1526
1028|359|10|mujer|497|18.6555|7.04011|158.783|130.393|4.82052|11.5391
1029|208|55|hombre|255|54.679|6.59583|121.768|231.678|15.3766|21.5094
103|161|48|hombre|263|0.753681|1.85922|141.453|154.739|18.2952|0.458434
1030|123|81|mujer|273|32.2285|1.37021|108.529|72.5394|24.2687|19.0348
1031|474|90|hombre|48|47.3278|1.22703|189.71|240.002|46.2965|23.0126
1032|346|1|mujer|312|27.7088|9.84306|145.202|299.862|9.85577|13.7539
1033|280|67|mujer|181|46.7156|1.85553|36.1322|110.165|3.56137|21.6286
