usuario_1|usuario_2|canciones
0|1|23
0|2|29
0|3|84
0|4|15
0|5|58
0|6|19
0|7|81
0|8|17
0|9|48
0|10|15
0|11|36
0|12|49
0|13|91
0|14|26
0|15|89
0|16|22
0|17|63
0|18|57
0|19|33
0|20|10
0|21|50
0|22|56
0|23|85
0|24|4
0|25|10
0|26|63
0|27|1
0|28|72
0|29|10
0|30|48
0|31|25
0|32|67
0|33|89
0|34|75
0|35|72
0|36|90
0|37|92
0|38|37
0|39|89
0|40|77
0|41|32
0|42|19
0|43|99
0|44|16
0|45|70
0|46|50
0|47|93
0|48|71
0|49|10
0|50|20
0|51|55
0|52|70
0|53|7
0|54|51
0|55|19
0|56|27
0|57|63
0|58|44
0|59|3
0|60|46
0|61|7
0|62|3
0|63|16
0|64|39
0|65|68
0|66|53
0|67|68
0|68|27
0|69|46
0|70|27
0|71|45
0|72|93
0|73|8
0|74|45
0|75|94
0|76|85
0|77|12
0|78|1
0|79|23
0|80|86
0|81|43
0|82|76
0|83|87
0|84|37
0|85|94
0|86|79
0|87|83
0|88|94
0|89|58
0|90|59
0|91|31
0|92|42
0|93|90
0|94|15
0|95|83
0|96|73
0|97|49
0|98|21
0|99|11
0|100|4
0|101|42
0|102|32
0|103|10
0|104|42
0|105|62
0|106|61
0|107|77
0|108|48
0|109|98
0|110|92
0|111|64
0|112|74
0|113|95
0|114|51
0|115|22
0|116|29
0|117|81
0|118|0
0|119|28
0|120|91
0|121|36
0|122|40
0|123|87
0|124|95
0|125|99
0|126|15
0|127|54
0|128|23
0|129|77
0|130|45
0|131|73
0|132|19
0|133|47
0|134|92
0|135|85
0|136|94
0|137|39
0|138|34
0|139|20
0|140|32
0|141|33
0|142|57
0|143|43
0|144|87
0|145|64
0|146|51
0|147|89
0|148|83
0|149|63
0|150|47
0|151|42
0|152|0
0|153|60
0|154|92
0|155|34
0|156|25
0|157|41
0|158|24
0|159|97
0|160|47
0|161|68
0|162|80
0|163|85
0|164|27
0|165|60
0|166|70
0|167|13
0|168|75
0|169|37
0|170|15
0|171|64
0|172|63
0|173|56
0|174|20
0|175|95
0|176|90
0|177|42
0|178|64
0|179|94
0|180|75
0|181|76
0|182|4
0|183|96
0|184|32
0|185|73
0|186|60
